className,eventId,traceLevel,nwFunction,networkElement1,networkElement2,messageDirection,
com.ericsson.pm_event.CuCpProcNrHoPrepOutOuterClass$CuCpProcNrHoPrepOut,3104,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,TARGET_GNODEB,,
com.ericsson.pm_event.CuCpProcNrScellUpdateOuterClass$CuCpProcNrScellUpdate,3160,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,GNODEB,,
com.ericsson.pm_event.CuCpProcPduSessionResourceModifyOuterClass$CuCpProcPduSessionResourceModify,3089,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,UE,,
com.ericsson.pm_event.CuCpProcPduSessionResourceReleaseOuterClass$CuCpProcPduSessionResourceRelease,3091,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,UE,,
com.ericsson.pm_event.CuCpProcPduSessionResourceSetupOuterClass$CuCpProcPduSessionResourceSetup,3021,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,UE,,
com.ericsson.pm_event.CuCpProcRrcEstabOuterClass$CuCpProcRrcEstab,3048,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,UE,,
com.ericsson.pm_event.CuCpProcRrcReestabOuterClass$CuCpProcRrcReestab,3229,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,UE,,
com.ericsson.pm_event.CuCpProcRrcReestabDrbOuterClass$CuCpProcRrcReestabDrb,3236,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,UE,,
com.ericsson.pm_event.CuCpProcRrcResumeOuterClass$CuCpProcRrcResume,3221,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,UE,,
com.ericsson.pm_event.CuCpProcSnNrdcModificationOuterClass$CuCpProcSnNrdcModification,3246,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,GNODEB,,
com.ericsson.pm_event.CuCpProcSnNrdcReleaseOuterClass$CuCpProcSnNrdcRelease,3197,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,GNODEB,,
com.ericsson.pm_event.CuCpProcSnNrdcSetupOuterClass$CuCpProcSnNrdcSetup,3198,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,GNODEB,,
com.ericsson.pm_event.CuCpProcSnNrdcSNodeChangeOuterClass$CuCpProcSnNrdcSNodeChange,3260,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,GNODEB,,
com.ericsson.pm_event.CuCpProcUeCtxtModOuterClass$CuCpProcUeCtxtMod,3114,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,UE,,
com.ericsson.pm_event.CuCpProcUeCtxtRelOuterClass$CuCpProcUeCtxtRel,3055,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,UE,,
